cong,id,mc.name,state,statenm,cd,party,nominate,caucus.total
108,15245,ABERCROM,82,HAWAII,1,100,-0.409,0
109,15245,ABERCROM,82,HAWAII,1,100,-0.399,12
110,15245,ABERCROM,82,HAWAII,1,100,-0.389,34
111,15245,ABERCROM,82,HAWAII,1,100,NA,50
103,15245,ABERCROMBIE,82, HAWAII ,1,100,NA,5
104,15245,ABERCROMBIE,82,HAWAII,1,100,NA,0
105,15245,ABERCROMBIE,82,HAWAII,1,100,NA,6
106,15245,ABERCROMBIE,82,HAWAII,1,100,-0.429,6
107,15245,ABERCROMBIE,82,HAWAII,1,100,-0.419,8
114,21522,ABRAHAM,45,LOUISIA,5,200,0.496,12
115,21522,"ABRAHAM, Ralph",NA,NA,5,200,NA,17
116,21522,"ABRAHAM, Ralph",45,NA,5,200,NA,18
103,15000,ACKERMAN,13, NEW YOR,5,100,NA,11
104,15000,ACKERMAN,13,NEW YOR,5,100,NA,6
105,15000,ACKERMAN,13,NEW YOR,5,100,NA,2
106,15000,ACKERMAN,13,NEW YOR,5,100,-0.415,2
107,15000,ACKERMAN,13,NEW YOR,5,100,-0.409,19
108,15000,ACKERMAN,13,NEW YOR,5,100,-0.403,14
109,15000,ACKERMAN,13,NEW YOR,5,100,-0.397,20
110,15000,ACKERMAN,13,NEW YOR,5,100,-0.39,30
111,15000,ACKERMAN,13,NEW YOR,5,100,NA,38
112,15000,ACKERMAN,13,NEW YOR,5,100,NA,40
112,21120,ADAMS,43,FLORIDA,24,200,NA,7
113,21545,ADAMS,47,NORTH C,12,100,-0.394,0
114,21545,ADAMS,47,NORTH C,12,100,-0.475,11
115,21545,"ADAMS, Alma",NA,NA,12,100,NA,21
116,21545,"ADAMS, Alma",47,NA,12,100,NA,19
105,29701,ADERHOLT,41,ALABAMA,4,200,NA,0
106,29701,ADERHOLT,41,ALABAMA,4,200,0.478,2
107,29701,ADERHOLT,41,ALABAMA,4,200,0.487,3
108,29701,ADERHOLT,41,ALABAMA,4,200,0.495,5
109,29701,ADERHOLT,41,ALABAMA,4,200,0.503,3
110,29701,ADERHOLT,41,ALABAMA,4,200,0.511,14
111,29701,ADERHOLT,41,ALABAMA,4,200,NA,20
112,29701,ADERHOLT,41,ALABAMA,4,200,NA,42
113,29701,ADERHOLT,41,ALABAMA,4,200,0.454,41
114,29701,ADERHOLT,41,ALABAMA,4,200,0.36,47
115,29701,"ADERHOLT, Robert",NA,NA,4,200,NA,53
116,29701,"ADERHOLT, Robert",41,NA,4,200,NA,52
111,20928,ADLER,12,NEW JER,3,100,NA,1
114,21506,AGUILAR,71,CALIFOR,31,100,-0.448,60
115,21506,"AGUILAR, Peter Rey",NA,NA,31,100,NA,23
116,21506,"AGUILAR, Peter Rey",71,NA,31,100,NA,24
107,20123,AKIN,34,MISSOUR,2,200,0.718,0
108,20123,AKIN,34,MISSOUR,2,200,0.732,3
109,20123,AKIN,34,MISSOUR,2,200,0.746,1
110,20123,AKIN,34,MISSOUR,2,200,0.76,15
111,20123,AKIN,34,MISSOUR,2,200,NA,21
112,20123,AKIN,34,MISSOUR,2,200,NA,41
108,20327,ALEXANDER,45,LOUISIA,5,100,-0.082,20
109,90327,ALEXANDER,45,LOUISIA,5,200,0.508,2
110,90327,ALEXANDER,45,LOUISIA,5,200,0.508,6
111,90327,ALEXANDER,45,LOUISIA,5,200,NA,9
112,90327,ALEXANDER,45,LOUISIA,5,200,NA,34
113,90327,ALEXANDER,45,LOUISIA,5,200,0.473,0
104,29108,ALLARD,62,COLORAD,4,200,NA,1
103,29108,ALLARD     ,62, COLORAD,4,200,NA,0
105,29728,ALLEN,2,MAINE,1,100,NA,3
106,29728,ALLEN,2,MAINE,1,100,-0.402,4
107,29728,ALLEN,2,MAINE,1,100,-0.394,13
108,29728,ALLEN,2,MAINE,1,100,-0.386,3
109,29728,ALLEN,2,MAINE,1,100,-0.378,14
110,29728,ALLEN,2,MAINE,1,100,-0.37,32
114,21516,ALLEN,44,GEORGIA,12,200,0.623,4
115,21516,"ALLEN, Rick W.",NA,NA,12,200,NA,10
116,21516,"ALLEN, Rick W.",44,NA,12,200,NA,12
116,21900,"ALLRED, Colin",49,NA,32,100,NA,3
110,20743,ALTMIRE,14,PENNSYL,4,100,-0.09,4
111,20743,ALTMIRE,14,PENNSYL,4,100,NA,25
112,20743,ALTMIRE,14,PENNSYL,4,100,NA,53
112,21143,AMASH,23,MICHIGA,3,200,NA,4
113,21143,AMASH,23,MICHIGA,3,200,0.997,4
